Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
371,8,4,power,0.637857599,0.013036877,CMA-ES
372,5,4,power,0.227444343,0.021205616,CMA-ES
373,10,4,power,0.413186314,0.007222319,CMA-ES
374,10,4,power,0.034731649,0.0070755,CMA-ES
375,13,4,power,0.078368371,0.009846907,CMA-ES
376,17,4,power,0.415424491,0.01396865,CMA-ES
377,17,4,power,0.213245033,0.018793934,CMA-ES
378,11,4,power,0.457844225,0.025187167,CMA-ES
379,9,4,power,0.104822869,0.008865224,CMA-ES
380,7,4,power,0.130353375,0.029864413,CMA-ES
381,15,4,power,0.131651195,0.012994798,CMA-ES
382,9,4,power,0.340413787,0.01927744,CMA-ES
383,18,4,power,0.992352502,0.018507507,CMA-ES
384,12,4,power,0.303273124,0.010864655,CMA-ES
385,9,4,power,0.044387231,0.017779218,CMA-ES
386,15,4,power,0.472670626,0.019412676,CMA-ES
387,8,4,power,0.12979668,0.024018615,CMA-ES
388,12,4,power,0.585547379,0.016903996,CMA-ES
389,16,4,power,0.055279332,0.013894513,CMA-ES
390,4,4,power,0.290997117,0.018308043,CMA-ES
391,16,4,power,0.880748287,0.012692809,CMA-ES
392,10,4,power,0.134992203,0.015829897,CMA-ES
393,8,4,power,0.12426419,0.01697436,CMA-ES
394,9,4,power,0.144393965,0.011709558,CMA-ES
395,17,4,power,0.160034662,0.016677702,CMA-ES
396,17,4,power,0.920319346,0.013526524,CMA-ES
397,10,4,power,0.172051754,0.019728208,CMA-ES
